px, py, yaw, speed
-7.908700, 8.675044, -3.131302, 5.499994
-7.963699, 8.674761, -3.132540, 5.499995
-7.963699, 8.674761, -3.132540, 5.499995
-7.963699, 8.674761, -3.132540, 5.499995
-8.018698, 8.674473, -3.133717, 5.499995
-8.018698, 8.674473, -3.133717, 5.499995
-8.073698, 8.674211, -3.135147, 5.499995
-8.073698, 8.674211, -3.135147, 5.499995
-8.073698, 8.674211, -3.135147, 5.499995
-8.128697, 8.673956, -3.136471, 5.499995
-8.128697, 8.673956, -3.136471, 5.499995
-8.183697, 8.673738, -3.138012, 5.499996
-8.183697, 8.673738, -3.138012, 5.499996
-8.183697, 8.673738, -3.138012, 5.499996
-8.238696, 8.673537, -3.139417, 5.499996
-8.238696, 8.673537, -3.139417, 5.499996
-8.293696, 8.673383, -3.141015, 5.499996
-8.293696, 8.673383, -3.141015, 5.499996
-8.293696, 8.673383, -3.141015, 5.499996
-8.348696, 8.673254, 3.140726, 5.499996
-8.348696, 8.673254, 3.140726, 5.499996
-8.403696, 8.673183, 3.139104, 5.499996
-8.403696, 8.673183, 3.139104, 5.499996
-8.403696, 8.673183, 3.139104, 5.499996
-8.458696, 8.673144, 3.137647, 5.499997
-8.458696, 8.673144, 3.137647, 5.499997
-8.513696, 8.673169, 3.136020, 5.499997
-8.513696, 8.673169, 3.136020, 5.499997
-8.513696, 8.673169, 3.136020, 5.499997
-8.568695, 8.673233, 3.134565, 5.499997
-8.568695, 8.673233, 3.134565, 5.499997
-8.623220, 8.673369, 3.132762, 5.404897
-8.623220, 8.673369, 3.132762, 5.404897
-8.623220, 8.673369, 3.132762, 5.404897
-8.676793, 8.673540, 3.130928, 5.309797
-8.676793, 8.673540, 3.130928, 5.309797
-8.729415, 8.673786, 3.128618, 5.214697
-8.729415, 8.673786, 3.128618, 5.214697
-8.729415, 8.673786, 3.128618, 5.214697
-8.781086, 8.674037, 3.126791, 5.119597
-8.781086, 8.674037, 3.126791, 5.119597
-8.831806, 8.674232, 3.126159, 5.024497
-8.831806, 8.674232, 3.126159, 5.024497
-8.831806, 8.674232, 3.126159, 5.024497
-8.881575, 8.674424, 3.126034, 4.929397
-8.881575, 8.674424, 3.126034, 4.929397
-8.930393, 8.674578, 3.126747, 4.834297
-8.930393, 8.674578, 3.126747, 4.834297
-8.930393, 8.674578, 3.126747, 4.834297
-8.978260, 8.674737, 3.127706, 4.739197
-8.978260, 8.674737, 3.127706, 4.739197
-9.025177, 8.674861, 3.129308, 4.644097
-9.025177, 8.674861, 3.129308, 4.644097
-9.025177, 8.674861, 3.129308, 4.644097
-9.071142, 8.674985, 3.131012, 4.548997
-9.071142, 8.674985, 3.131012, 4.548997
-9.116156, 8.675067, 3.133252, 4.453897
-9.116156, 8.675067, 3.133252, 4.453897
-9.116156, 8.675067, 3.133252, 4.453897
-9.160220, 8.675139, 3.135511, 4.358797
-9.160220, 8.675139, 3.135511, 4.358797
-9.203332, 8.675158, 3.138240, 4.263697
-9.203332, 8.675158, 3.138240, 4.263697
-9.203332, 8.675158, 3.138240, 4.263697
-9.245494, 8.675156, 3.140936, 4.168597
-9.245494, 8.675156, 3.140936, 4.168597
-9.286704, 8.675088, -3.139128, 4.073497
-9.286704, 8.675088, -3.139128, 4.073497
-9.286704, 8.675088, -3.139128, 4.073497
-9.326963, 8.674987, -3.136082, 3.978397
-9.326963, 8.674987, -3.136082, 3.978397
-9.366271, 8.674809, -3.132645, 3.883297
