px, py, yaw, odom_speed
-0.188898, -0.181968, -0.000048, 5.499694
-0.188898, -0.181968, -0.000048, 5.499694
-0.133901, -0.181892, -0.001508, 5.499708
-0.133901, -0.181892, -0.001508, 5.499708
-0.078904, -0.181871, -0.003144, 5.499722
-0.078904, -0.181871, -0.003144, 5.499722
-0.078904, -0.181871, -0.003144, 5.499722
-0.023907, -0.181856, -0.004292, 5.499735
-0.023907, -0.181856, -0.004292, 5.499735
0.031090, -0.181799, -0.004438, 5.499748
0.031090, -0.181799, -0.004438, 5.499748
0.031090, -0.181799, -0.004438, 5.499748
0.086088, -0.181731, -0.004073, 5.499760
0.086088, -0.181731, -0.004073, 5.499760
0.141085, -0.181624, -0.002985, 5.499771
0.141085, -0.181624, -0.002985, 5.499771
0.141085, -0.181624, -0.002985, 5.499771
0.196083, -0.181501, -0.001619, 5.499782
0.196083, -0.181501, -0.001619, 5.499782
0.251081, -0.181332, 0.000278, 5.499793
0.251081, -0.181332, 0.000278, 5.499793
0.251081, -0.181332, 0.000278, 5.499793
0.306078, -0.181135, 0.002293, 5.499803
0.306078, -0.181135, 0.002293, 5.499803
0.361076, -0.180879, 0.004707, 5.499812
0.361076, -0.180879, 0.004707, 5.499812
0.361076, -0.180879, 0.004707, 5.499812
0.416073, -0.180581, 0.007131, 5.499821
0.416073, -0.180581, 0.007131, 5.499821
0.471070, -0.180207, 0.009864, 5.499829
0.471070, -0.180207, 0.009864, 5.499829
0.471070, -0.180207, 0.009864, 5.499829
0.526067, -0.179803, 0.012213, 5.499837
0.526067, -0.179803, 0.012213, 5.499837
0.581064, -0.179411, 0.013643, 5.499845
0.581064, -0.179411, 0.013643, 5.499845
0.581064, -0.179411, 0.013643, 5.499845
0.636061, -0.178999, 0.014625, 5.499853
1.571023, -0.173036, -0.003585, 5.499936
2.231015, -0.174432, -0.005964, 5.499964
2.286014, -0.174593, -0.004805, 5.499966
2.286014, -0.174593, -0.004805, 5.499966
2.341014, -0.174801, -0.004315, 5.499967
2.341014, -0.174801, -0.004315, 5.499967
2.341014, -0.174801, -0.004315, 5.499967
2.396013, -0.175024, -0.004067, 5.499969
2.396013, -0.175024, -0.004067, 5.499969
2.451012, -0.175286, -0.004327, 5.499970
2.451012, -0.175286, -0.004327, 5.499970
2.451012, -0.175286, -0.004327, 5.499970
2.506011, -0.175559, -0.004693, 5.499972
2.506011, -0.175559, -0.004693, 5.499972
2.561010, -0.175870, -0.005453, 5.499973
2.561010, -0.175870, -0.005453, 5.499973
2.561010, -0.175870, -0.005453, 5.499973
2.616009, -0.176167, -0.005904, 5.499974
2.616009, -0.176167, -0.005904, 5.499974
2.671008, -0.176403, -0.005500, 5.499976
2.671008, -0.176403, -0.005500, 5.499976
2.671008, -0.176403, -0.005500, 5.499976
2.726007, -0.176631, -0.005028, 5.499977
2.726007, -0.176631, -0.005028, 5.499977
2.781006, -0.176902, -0.005102, 5.499978
2.781006, -0.176902, -0.005102, 5.499978
2.781006, -0.176902, -0.005102, 5.499978
2.836005, -0.177188, -0.005314, 5.499979
2.836005, -0.177188, -0.005314, 5.499979
