px, py, yaw, speed
-7.989240, 8.691537, -3.134603, 5.499993
-7.989240, 8.691537, -3.134603, 5.499993
-8.044238, 8.691045, -3.135480, 5.499993
-8.044238, 8.691045, -3.135480, 5.499993
-8.099236, 8.690568, -3.136181, 5.499993
-8.099236, 8.690568, -3.136181, 5.499993
-8.099236, 8.690568, -3.136181, 5.499993
-8.154234, 8.690134, -3.137046, 5.499994
-8.154234, 8.690134, -3.137046, 5.499994
-8.209232, 8.689717, -3.137734, 5.499994
-8.209232, 8.689717, -3.137734, 5.499994
-8.209232, 8.689717, -3.137734, 5.499994
-8.264231, 8.689345, -3.138586, 5.499994
-8.264231, 8.689345, -3.138586, 5.499994
-8.319230, 8.688993, -3.139263, 5.499995
-8.319230, 8.688993, -3.139263, 5.499995
-8.319230, 8.688993, -3.139263, 5.499995
-8.374229, 8.688687, -3.140104, 5.499995
-8.374229, 8.688687, -3.140104, 5.499995
-8.429228, 8.688403, -3.140770, 5.499995
-8.429228, 8.688403, -3.140770, 5.499995
-8.429228, 8.688403, -3.140770, 5.499995
-8.484228, 8.688167, 3.141584, 5.499995
-8.484228, 8.688167, 3.141584, 5.499995
-8.539227, 8.687953, 3.140927, 5.499996
-8.539227, 8.687953, 3.140927, 5.499996
-8.539227, 8.687953, 3.140927, 5.499996
-8.593751, 8.687792, 3.139976, 5.404896
-8.593751, 8.687792, 3.139976, 5.404896
-8.647325, 8.687650, 3.139097, 5.309796
-8.647325, 8.687650, 3.139097, 5.309796
-8.647325, 8.687650, 3.139097, 5.309796
-8.699947, 8.687566, 3.137835, 5.214696
-8.699947, 8.687566, 3.137835, 5.214696
-8.751618, 8.687466, 3.137142, 5.119596
-8.751618, 8.687466, 3.137142, 5.119596
-8.751618, 8.687466, 3.137142, 5.119596
-8.802339, 8.687289, 3.137722, 5.024496
-8.802339, 8.687289, 3.137722, 5.024496
-8.852108, 8.687084, 3.138883, 4.929396
-8.852108, 8.687084, 3.138883, 4.929396
-8.852108, 8.687084, 3.138883, 4.929396
-8.900925, 8.686816, 3.140952, 4.834296
-8.900925, 8.686816, 3.140952, 4.834296
-8.948792, 8.686525, -3.139853, 4.739196
-8.948792, 8.686525, -3.139853, 4.739196
-8.948792, 8.686525, -3.139853, 4.739196
-8.995707, 8.686170, -3.136769, 4.644096
-8.995707, 8.686170, -3.136769, 4.644096
-9.041671, 8.685783, -3.133527, 4.548996
-9.041671, 8.685783, -3.133527, 4.548996
-9.041671, 8.685783, -3.133527, 4.548996
-9.086683, 8.685321, -3.129698, 4.453896
-9.086683, 8.685321, -3.129698, 4.453896
-9.130744, 8.684851, -3.126250, 4.358796
-9.130744, 8.684851, -3.126250, 4.358796
